name,description,category.level_1,category.level_2,category.level_3,brand,attributes.color,attributes.size,attributes.material,pricing.cost_price,pricing.selling_price,pricing.currency,inventory.storage_type,inventory.shelf_life_days,logistics.weight_kg,logistics.fragile,logistics.hazardous
"Husky Caulk Gun (Silver, Standard)",Heavy-duty caulking gun with smooth trigger,DIY & Hardware,Adhesives & Sealants,Caulk Gun,Husky,Silver,Standard,Epoxy,13.35,17.29,USD,Normal,545,0.469,FALSE,FALSE
"Adventure Medical First Aid Kit (Green, One Size)",Compact first aid kit for job sites,DIY & Hardware,Safety Equipment,First Aid Kit,Adventure Medical,Green,One Size,Polycarbonate,24.44,40.33,USD,Normal,0,0.912,FALSE,FALSE
"3M Duct Tape (Green, Small)",Heavy-duty waterproof duct tape,DIY & Hardware,Adhesives & Sealants,Duct Tape,3M,Green,Small,Silicone,7.83,13.79,USD,Normal,545,0.295,FALSE,FALSE
"Fluke Voltage Tester (Black, Standard)",Non-contact voltage tester with LED indicator,DIY & Hardware,Electrical Supplies,Voltage Tester,Fluke,Black,Standard,Copper/PVC,10.02,16.83,USD,Normal,0,0.22,FALSE,FALSE
"Husky Adjustable Wrench Set (Grey, Professional)",Chrome vanadium adjustable wrench set,DIY & Hardware,Hand Tools,Adjustable Wrench Set,Husky,Grey,Professional,Aluminium,28.64,36.86,USD,Normal,0,0.891,FALSE,FALSE
"Wooster Paint Roller Kit (Red, Pack of 3)",Paint roller kit with tray and covers,DIY & Hardware,Paint & Painting Supplies,Paint Roller Kit,Wooster,Red,Pack of 3,Cotton Canvas,15.66,21.36,USD,Normal,730,0.696,FALSE,FALSE
"Craftsman Pliers Set (Grey, Standard)",Multi-piece pliers set including needle nose and slip joint,DIY & Hardware,Hand Tools,Pliers Set,Craftsman,Grey,Standard,Steel,16.05,26.06,USD,Normal,0,0.987,FALSE,FALSE
"DeWalt Tool Box Organizer (Grey, Compact)",Portable toolbox with removable tray,DIY & Hardware,Hand Tools,Tool Box Organizer,DeWalt,Grey,Compact,Steel,37.67,55.27,USD,Normal,0,1.539,FALSE,FALSE
"Werner Extension Ladder (Grey, Standard) - Variant 2",Multi-section extension ladder,DIY & Hardware,Ladders & Storage,Extension Ladder,Werner,Grey,Standard,Aluminium,168.25,295.48,USD,Normal,0,17.169,FALSE,FALSE
"Peltor Ear Protection Muffs (Black, Medium)",Noise-reducing ear muffs for job sites,DIY & Hardware,Safety Equipment,Ear Protection Muffs,Peltor,Black,Medium,Nylon,19.4,30.36,USD,Normal,0,0.355,FALSE,FALSE
"Milwaukee Cordless Nail Gun (Red, Compact)",Cordless brad nailer for trim and finish work,DIY & Hardware,Power Tools,Cordless Nail Gun,Milwaukee,Red,Compact,Steel,113.9,178.27,USD,Normal,0,1.902,FALSE,FALSE
"Simpson Strong-Tie Concrete Anchor Bolts (Black, 50-Piece)",Wedge anchors for securing to concrete,DIY & Hardware,Fasteners & Fixings,Concrete Anchor Bolts,Simpson Strong-Tie,Black,50-Piece,Nylon,22.28,31.35,USD,Normal,0,0.714,FALSE,FALSE
"Craftsman Pliers Set (Green, Professional)",Multi-piece pliers set including needle nose and slip joint,DIY & Hardware,Hand Tools,Pliers Set,Craftsman,Green,Professional,Chrome Vanadium,12.53,17.8,USD,Normal,0,0.905,FALSE,FALSE
"Ridgid Pipe Wrench (Green, 1/2 inch)",Cast iron pipe wrench for plumbing work,DIY & Hardware,Plumbing Supplies,Pipe Wrench,Ridgid,Green,1/2 inch,Rubber,14.55,25.02,USD,Normal,0,0.877,FALSE,FALSE
"Stanley Level Tool 24 inch (Green, Professional)",Aluminium spirit level with 3 vials,DIY & Hardware,Hand Tools,Level Tool 24 inch,Stanley,Green,Professional,Chrome Vanadium,13.75,23.42,USD,Normal,0,0.916,FALSE,FALSE
"Gardner Bender Cable Ties Pack (Silver, 100-Piece)",Nylon cable ties assorted sizes,DIY & Hardware,Fasteners & Fixings,Cable Ties Pack,Gardner Bender,Silver,100-Piece,Nylon,10.15,14.7,USD,Normal,0,0.25,FALSE,FALSE
"Siemens Circuit Breaker (Grey, Pack of 10)",Single-pole circuit breaker for panel boxes,DIY & Hardware,Electrical Supplies,Circuit Breaker,Siemens,Grey,Pack of 10,Copper/PVC,18.8,27.6,USD,Normal,0,0.288,FALSE,FALSE
"Loctite Epoxy Resin Kit (Silver, Pack of 2)",Two-part epoxy adhesive kit,DIY & Hardware,Adhesives & Sealants,Epoxy Resin Kit,Loctite,Silver,Pack of 2,Silicone,13.28,22.82,USD,Normal,545,0.25,FALSE,FALSE
"Benjamin Moore Exterior Paint 1 Gallon (Red, 1 Gallon)",Weather-resistant exterior acrylic paint,DIY & Hardware,Paint & Painting Supplies,Exterior Paint 1 Gallon,Benjamin Moore,Red,1 Gallon,Polyester,37.38,61,USD,Normal,730,4.724,FALSE,TRUE
"Gorilla Super Glue (Grey, Standard)",Fast-bonding cyanoacrylate super glue,DIY & Hardware,Adhesives & Sealants,Super Glue,Gorilla,Grey,Standard,Epoxy,4.16,6.49,USD,Normal,545,0.041,FALSE,TRUE
"Craftsman Tape Measure 25ft (Yellow/Black, Standard)",Self-locking tape measure with magnetic hook,DIY & Hardware,Hand Tools,Tape Measure 25ft,Craftsman,Yellow/Black,Standard,Plastic/Steel,13.81,19.75,USD,Normal,0,0.358,FALSE,FALSE
"General Wire Drain Snake (Black, Universal)",Manual drain auger for clearing clogs,DIY & Hardware,Plumbing Supplies,Drain Snake,General Wire,Black,Universal,Rubber,25.37,33.46,USD,Normal,0,0.519,FALSE,FALSE
"National Hardware Hinges Pack (Blue, 50-Piece)",Steel door hinges pack of 3,DIY & Hardware,Fasteners & Fixings,Hinges Pack,National Hardware,Blue,50-Piece,Stainless Steel,6.62,10.95,USD,Normal,0,0.719,FALSE,FALSE
"Wera Screwdriver Set (Yellow/Black, 6-Piece)",Multi-piece screwdriver set with magnetic tips,DIY & Hardware,Hand Tools,Screwdriver Set,Wera,Yellow/Black,6-Piece,Chrome Vanadium,10.15,18.45,USD,Normal,0,0.747,FALSE,FALSE
"Everbilt Machine Bolt Set (Green, Assorted)",Zinc-plated machine bolts and nuts assortment,DIY & Hardware,Fasteners & Fixings,Machine Bolt Set,Everbilt,Green,Assorted,Zinc-plated Steel,10.29,15.64,USD,Normal,0,0.909,FALSE,FALSE
"SharkBite PVC Pipe Fitting Set (Red, 1/2 inch)",Assorted PVC fittings for plumbing repairs,DIY & Hardware,Plumbing Supplies,PVC Pipe Fitting Set,SharkBite,Red,1/2 inch,Stainless Steel,16.11,23.19,USD,Normal,0,1.017,FALSE,FALSE
"Purdy Paint Roller Kit (Green, Quart)",Paint roller kit with tray and covers,DIY & Hardware,Paint & Painting Supplies,Paint Roller Kit,Purdy,Green,Quart,Polyester,17.65,24.95,USD,Normal,730,0.89,FALSE,FALSE
"Everbilt Drywall Anchor Kit (Grey, 50-Piece)",Self-drilling drywall anchors with screws,DIY & Hardware,Fasteners & Fixings,Drywall Anchor Kit,Everbilt,Grey,50-Piece,Zinc-plated Steel,7.04,9.62,USD,Normal,0,0.554,FALSE,FALSE
"EASTMAN Water Supply Line (Grey, Standard)",Braided stainless steel supply line,DIY & Hardware,Plumbing Supplies,Water Supply Line,EASTMAN,Grey,Standard,Stainless Steel,11.02,18.55,USD,Normal,0,0.307,FALSE,FALSE
"Rust-Oleum Spray Paint Can (Green, Pack of 3)",All-purpose gloss spray paint,DIY & Hardware,Paint & Painting Supplies,Spray Paint Can,Rust-Oleum,Green,Pack of 3,Cotton Canvas,7.71,10.2,USD,Normal,730,0.439,FALSE,FALSE
"Toughbuilt Knee Pads (Green, Standard)",Gel knee pads for flooring and tiling work,DIY & Hardware,Safety Equipment,Knee Pads,Toughbuilt,Green,Standard,Nylon,16.22,28.54,USD,Normal,0,0.581,FALSE,FALSE
"Husky Garage Storage Shelving (Red, Standard)",Heavy-duty steel storage shelving unit,DIY & Hardware,Ladders & Storage,Garage Storage Shelving,Husky,Red,Standard,Aluminium,96.13,154.92,USD,Normal,0,17.231,FALSE,FALSE
"Honeywell Dust Mask Pack (Yellow/Black, One Size)",N95 dust masks pack of 10,DIY & Hardware,Safety Equipment,Dust Mask Pack,Honeywell,Yellow/Black,One Size,Nylon,10.73,13.84,USD,Normal,0,0.29,FALSE,FALSE
"Loctite Silicone Sealant (Black, Pack of 2)",100% waterproof silicone sealant cartridge,DIY & Hardware,Adhesives & Sealants,Silicone Sealant,Loctite,Black,Pack of 2,Cyanoacrylate,10.23,14.49,USD,Normal,545,0.344,FALSE,TRUE
"Fluke Voltage Tester (Silver, Standard)",Non-contact voltage tester with LED indicator,DIY & Hardware,Electrical Supplies,Voltage Tester,Fluke,Silver,Standard,Metal/Plastic,22.58,31.97,USD,Normal,0,0.29,FALSE,FALSE
"Craftsman Tool Box Organizer (Green, 12-Piece)",Portable toolbox with removable tray,DIY & Hardware,Hand Tools,Tool Box Organizer,Craftsman,Green,12-Piece,Aluminium,27.11,44.63,USD,Normal,0,1.404,FALSE,FALSE
"MSA Hard Hat (Red, Medium)",ANSI-rated hard hat for construction safety,DIY & Hardware,Safety Equipment,Hard Hat,MSA,Red,Medium,Nylon,19.12,31.9,USD,Normal,0,0.422,FALSE,FALSE
"Mechanix Work Gloves (Black, One Size)",Cut-resistant work gloves for handling tools,DIY & Hardware,Safety Equipment,Work Gloves,Mechanix,Black,One Size,Polycarbonate,9.11,12.76,USD,Normal,0,0.3,FALSE,FALSE
"3M Painter's Tape (Red, Standard)",Multi-surface painter's masking tape,DIY & Hardware,Paint & Painting Supplies,Painter's Tape,3M,Red,Standard,Polyester,10.36,14.51,USD,Normal,730,0.385,FALSE,FALSE
"Purdy Paint Brush Set (Orange/Black, Quart)",Angled paint brush set for trim and walls,DIY & Hardware,Paint & Painting Supplies,Paint Brush Set,Purdy,Orange/Black,Quart,Latex,11.48,20.65,USD,Normal,730,0.366,FALSE,FALSE
"Louisville Extension Ladder (Red, Standard)",Multi-section extension ladder,DIY & Hardware,Ladders & Storage,Extension Ladder,Louisville,Red,Standard,Aluminium,127.7,178.63,USD,Normal,0,15.829,FALSE,FALSE
"Duck Duct Tape (Red, Small)",Heavy-duty waterproof duct tape,DIY & Hardware,Adhesives & Sealants,Duct Tape,Duck,Red,Small,Silicone,8.12,12.42,USD,Normal,545,0.302,FALSE,TRUE
"Wall Control Pegboard Organizer Kit (Black, 6ft)",Pegboard wall organizer with hooks,DIY & Hardware,Ladders & Storage,Pegboard Organizer Kit,Wall Control,Black,6ft,Steel,41.21,61.58,USD,Normal,0,2.912,FALSE,FALSE
"Southwire Voltage Tester (Blue, Pack of 10)",Non-contact voltage tester with LED indicator,DIY & Hardware,Electrical Supplies,Voltage Tester,Southwire,Blue,Pack of 10,Copper/PVC,14.23,18.48,USD,Normal,0,0.155,FALSE,FALSE
"Cosco Aluminium Step Ladder (Black, 8ft)",Lightweight aluminium step ladder,DIY & Hardware,Ladders & Storage,Aluminium Step Ladder,Cosco,Black,8ft,Fiberglass,45.86,66.12,USD,Normal,0,8.608,FALSE,FALSE
"DeWalt Cordless Drill Driver (Yellow/Black, 12V)",Cordless drill with variable speed and LED work light,DIY & Hardware,Power Tools,Cordless Drill Driver,DeWalt,Yellow/Black,12V,Steel,53.51,78.51,USD,Normal,0,1.456,FALSE,TRUE
"Seville Classics Garage Storage Shelving (Blue, 8ft)",Heavy-duty steel storage shelving unit,DIY & Hardware,Ladders & Storage,Garage Storage Shelving,Seville Classics,Blue,8ft,Steel,122.84,173.61,USD,Normal,0,13.569,FALSE,FALSE
"Bosch Circular Saw (Silver, 18V)","Circular saw for fast, precise wood cutting",DIY & Hardware,Power Tools,Circular Saw,Bosch,Silver,18V,Composite,60.38,87.56,USD,Normal,0,3.031,FALSE,FALSE
"Trimaco Drop Cloth (Green, Standard)",Canvas drop cloth for painting projects,DIY & Hardware,Paint & Painting Supplies,Drop Cloth,Trimaco,Green,Standard,Acrylic,9.73,16.83,USD,Normal,730,1.16,FALSE,TRUE
"Ingersoll Rand Impact Wrench (Silver, Standard)",Cordless impact wrench with high torque output,DIY & Hardware,Power Tools,Impact Wrench,Ingersoll Rand,Silver,Standard,Aluminium,200.14,261.7,USD,Normal,0,3.026,FALSE,FALSE
"Everbilt Cable Ties Pack (Grey, 50-Piece)",Nylon cable ties assorted sizes,DIY & Hardware,Fasteners & Fixings,Cable Ties Pack,Everbilt,Grey,50-Piece,Brass,5.69,9.97,USD,Normal,0,0.179,FALSE,FALSE
"Siemens Circuit Breaker (Yellow/Black, Pack of 10)",Single-pole circuit breaker for panel boxes,DIY & Hardware,Electrical Supplies,Circuit Breaker,Siemens,Yellow/Black,Pack of 10,Copper/PVC,17.6,23.38,USD,Normal,0,0.331,FALSE,FALSE
"Werner Aluminium Step Ladder (Silver, Standard)",Lightweight aluminium step ladder,DIY & Hardware,Ladders & Storage,Aluminium Step Ladder,Werner,Silver,Standard,Aluminium,88.35,121.75,USD,Normal,0,6.464,FALSE,FALSE
"Little Giant Extension Ladder (Blue, Heavy Duty)",Multi-section extension ladder,DIY & Hardware,Ladders & Storage,Extension Ladder,Little Giant,Blue,Heavy Duty,Aluminium,145.05,199.85,USD,Normal,0,14.238,FALSE,FALSE
"Stanley Adjustable Wrench Set (Silver, 12-Piece)",Chrome vanadium adjustable wrench set,DIY & Hardware,Hand Tools,Adjustable Wrench Set,Stanley,Silver,12-Piece,Plastic/Steel,21.54,33.97,USD,Normal,0,0.73,FALSE,FALSE
"Gorilla Epoxy Resin Kit (Yellow/Black, Pack of 2)",Two-part epoxy adhesive kit,DIY & Hardware,Adhesives & Sealants,Epoxy Resin Kit,Gorilla,Yellow/Black,Pack of 2,Cyanoacrylate,15.74,21.42,USD,Normal,545,0.304,FALSE,TRUE
"Little Giant Extension Ladder (Green, Heavy Duty)",Multi-section extension ladder,DIY & Hardware,Ladders & Storage,Extension Ladder,Little Giant,Green,Heavy Duty,Aluminium,213.94,297.12,USD,Normal,0,14.394,FALSE,FALSE
"Triton Products Pegboard Organizer Kit (Blue, 6ft)",Pegboard wall organizer with hooks,DIY & Hardware,Ladders & Storage,Pegboard Organizer Kit,Triton Products,Blue,6ft,Steel,29.05,41.21,USD,Normal,0,4.94,FALSE,FALSE
"Black+Decker Heat Gun (Blue, 12V)",Heat gun for paint stripping and shrink wrapping,DIY & Hardware,Power Tools,Heat Gun,Black+Decker,Blue,12V,Aluminium,18.34,27.77,USD,Normal,0,0.862,FALSE,FALSE
"Elmer's Wood Glue (Orange/Black, Standard)",Interior wood glue for strong bonds,DIY & Hardware,Adhesives & Sealants,Wood Glue,Elmer's,Orange/Black,Standard,Cyanoacrylate,5.93,9.1,USD,Normal,545,0.384,FALSE,FALSE
"Gardner Bender Wire Connectors Pack (Grey, Standard)",Twist-on wire connectors assorted sizes,DIY & Hardware,Electrical Supplies,Wire Connectors Pack,Gardner Bender,Grey,Standard,Metal/Plastic,7.6,11.35,USD,Normal,0,0.212,FALSE,FALSE
"MSA Hard Hat (Green, One Size) - Variant 2",ANSI-rated hard hat for construction safety,DIY & Hardware,Safety Equipment,Hard Hat,MSA,Green,One Size,Leather,23.19,36.89,USD,Normal,0,0.371,FALSE,FALSE
"Ridgid Drain Snake (Orange/Black, 3/4 inch)",Manual drain auger for clearing clogs,DIY & Hardware,Plumbing Supplies,Drain Snake,Ridgid,Orange/Black,3/4 inch,Stainless Steel,16.83,21.75,USD,Normal,0,0.798,FALSE,FALSE
"Lutron Smart Light Switch (Grey, Pack of 10) - Variant 2",Wi-Fi enabled smart light switch,DIY & Hardware,Electrical Supplies,Smart Light Switch,Lutron,Grey,Pack of 10,Plastic,18.36,26.92,USD,Normal,0,0.309,FALSE,FALSE
"3M Duct Tape (Black, Standard)",Heavy-duty waterproof duct tape,DIY & Hardware,Adhesives & Sealants,Duct Tape,3M,Black,Standard,Epoxy,6.34,8.88,USD,Normal,545,0.252,FALSE,FALSE
"Ridgid Drain Snake (Orange/Black, 3/4 inch) - Variant 2",Manual drain auger for clearing clogs,DIY & Hardware,Plumbing Supplies,Drain Snake,Ridgid,Orange/Black,3/4 inch,Stainless Steel,13.22,19.12,USD,Normal,0,1.087,FALSE,FALSE
"Louisville Extension Ladder (Orange/Black, 6ft)",Multi-section extension ladder,DIY & Hardware,Ladders & Storage,Extension Ladder,Louisville,Orange/Black,6ft,Aluminium,129.89,181.66,USD,Normal,0,12.804,FALSE,FALSE
"Bosch Cordless Multi-Tool (Silver, 18V)","Oscillating multi-tool for cutting, sanding and scraping",DIY & Hardware,Power Tools,Cordless Multi-Tool,Bosch,Silver,18V,Composite,82.56,114.05,USD,Normal,0,1.072,FALSE,FALSE
"Metabo Angle Grinder (Orange/Black, Standard)",Angle grinder for cutting and grinding metal or stone,DIY & Hardware,Power Tools,Angle Grinder,Metabo,Orange/Black,Standard,Plastic/Metal,63.1,84.97,USD,Normal,0,2.527,FALSE,TRUE
"3M Duct Tape (Black, Standard) - Variant 2",Heavy-duty waterproof duct tape,DIY & Hardware,Adhesives & Sealants,Duct Tape,3M,Black,Standard,Epoxy,4.15,6.09,USD,Normal,545,0.216,FALSE,FALSE
"General Wire Drain Snake (Grey, Universal)",Manual drain auger for clearing clogs,DIY & Hardware,Plumbing Supplies,Drain Snake,General Wire,Grey,Universal,Brass,17.07,23.19,USD,Normal,0,0.831,FALSE,FALSE
"Ridgid Pipe Wrench (Green, 1/2 inch) - Variant 2",Cast iron pipe wrench for plumbing work,DIY & Hardware,Plumbing Supplies,Pipe Wrench,Ridgid,Green,1/2 inch,Stainless Steel,17.51,23.44,USD,Normal,0,1.697,FALSE,FALSE
"Gorilla Rack Garage Storage Shelving (Silver, 6ft)",Heavy-duty steel storage shelving unit,DIY & Hardware,Ladders & Storage,Garage Storage Shelving,Gorilla Rack,Silver,6ft,Fiberglass,54.17,93.02,USD,Normal,0,13.883,FALSE,FALSE
"SharkBite Water Supply Line (Grey, 3/4 inch)",Braided stainless steel supply line,DIY & Hardware,Plumbing Supplies,Water Supply Line,SharkBite,Grey,3/4 inch,Stainless Steel,8.76,12.23,USD,Normal,0,0.203,FALSE,FALSE
"Southwire Wire Strippers (Red, Pack of 10)",Self-adjusting wire stripper and cutter,DIY & Hardware,Electrical Supplies,Wire Strippers,Southwire,Red,Pack of 10,Plastic,12.73,17.99,USD,Normal,0,0.385,FALSE,FALSE
"Kohler Faucet Repair Kit (Blue, 1/2 inch)",Universal faucet cartridge repair kit,DIY & Hardware,Plumbing Supplies,Faucet Repair Kit,Kohler,Blue,1/2 inch,Stainless Steel,9.77,16.82,USD,Normal,0,0.246,FALSE,FALSE
"Nova Drop Cloth (Grey, Quart)",Canvas drop cloth for painting projects,DIY & Hardware,Paint & Painting Supplies,Drop Cloth,Nova,Grey,Quart,Latex,17.6,25.61,USD,Normal,730,1.43,FALSE,FALSE
"Gorilla Rack Garage Storage Shelving (Red, 8ft)",Heavy-duty steel storage shelving unit,DIY & Hardware,Ladders & Storage,Garage Storage Shelving,Gorilla Rack,Red,8ft,Aluminium,83.84,143.45,USD,Normal,0,13.937,FALSE,FALSE
"Craftsman Allen Key Set (Grey, Professional) - Variant 2",Hex key set in metric and SAE sizes,DIY & Hardware,Hand Tools,Allen Key Set,Craftsman,Grey,Professional,Steel,8.52,15.13,USD,Normal,0,0.24,FALSE,FALSE
"Makita Cordless Multi-Tool (Blue, 18V)","Oscillating multi-tool for cutting, sanding and scraping",DIY & Hardware,Power Tools,Cordless Multi-Tool,Makita,Blue,18V,Plastic/Metal,41,74.45,USD,Normal,0,1.031,FALSE,FALSE
"Loctite Silicone Sealant (Red, Standard)",100% waterproof silicone sealant cartridge,DIY & Hardware,Adhesives & Sealants,Silicone Sealant,Loctite,Red,Standard,Cyanoacrylate,10.45,15.86,USD,Normal,545,0.329,FALSE,TRUE
"Everbilt Hinges Pack (Silver, 200-Piece)",Steel door hinges pack of 3,DIY & Hardware,Fasteners & Fixings,Hinges Pack,Everbilt,Silver,200-Piece,Brass,10.61,15.01,USD,Normal,0,0.731,FALSE,FALSE
"Behr Exterior Paint 1 Gallon (Silver, Quart)",Weather-resistant exterior acrylic paint,DIY & Hardware,Paint & Painting Supplies,Exterior Paint 1 Gallon,Behr,Silver,Quart,Latex,46.13,63.72,USD,Normal,730,4.783,FALSE,FALSE
"Milwaukee Tool Chest Cabinet (Silver, 8ft)",Rolling tool chest with multiple drawers,DIY & Hardware,Ladders & Storage,Tool Chest Cabinet,Milwaukee,Silver,8ft,Aluminium,181.69,310.22,USD,Normal,0,30.654,FALSE,FALSE
"DeWalt Claw Hammer (Yellow/Black, 6-Piece)",Steel claw hammer with shock-absorbing grip,DIY & Hardware,Hand Tools,Claw Hammer,DeWalt,Yellow/Black,6-Piece,Chrome Vanadium,9.02,13.14,USD,Normal,0,0.534,FALSE,FALSE
"Milwaukee Reciprocating Saw (Silver, Standard)",Reciprocating saw for demolition and rough cuts,DIY & Hardware,Power Tools,Reciprocating Saw,Milwaukee,Silver,Standard,Composite,89.55,123.77,USD,Normal,0,2.931,FALSE,FALSE
"Rubbermaid Plunger (Green, 1/2 inch)",Heavy-duty toilet plunger with sturdy handle,DIY & Hardware,Plumbing Supplies,Plunger,Rubbermaid,Green,1/2 inch,Stainless Steel,6.77,11.62,USD,Normal,0,0.664,FALSE,FALSE
"Oatey Teflon Tape Pack (Black, Universal)",PTFE thread seal tape pack of 5,DIY & Hardware,Plumbing Supplies,Teflon Tape Pack,Oatey,Black,Universal,Rubber,2.76,4.38,USD,Normal,0,0.114,FALSE,FALSE
"Seville Classics Garage Storage Shelving (Silver, 8ft)",Heavy-duty steel storage shelving unit,DIY & Hardware,Ladders & Storage,Garage Storage Shelving,Seville Classics,Silver,8ft,Steel,63.96,107.99,USD,Normal,0,16.455,FALSE,FALSE
"Legrand Electrical Outlet (Black, Standard)",Tamper-resistant duplex electrical outlet,DIY & Hardware,Electrical Supplies,Electrical Outlet,Legrand,Black,Standard,Plastic,8.65,11.19,USD,Normal,0,0.156,FALSE,FALSE
"Leviton Electrical Outlet (Green, Standard)",Tamper-resistant duplex electrical outlet,DIY & Hardware,Electrical Supplies,Electrical Outlet,Leviton,Green,Standard,Metal/Plastic,11.28,15.14,USD,Normal,0,0.109,FALSE,FALSE
"Irwin Wire Strippers (Silver, Standard)",Self-adjusting wire stripper and cutter,DIY & Hardware,Electrical Supplies,Wire Strippers,Irwin,Silver,Standard,Metal/Plastic,21.26,35.84,USD,Normal,0,0.352,FALSE,FALSE
"Little Giant Extension Ladder (Orange/Black, Standard)",Multi-section extension ladder,DIY & Hardware,Ladders & Storage,Extension Ladder,Little Giant,Orange/Black,Standard,Steel,160.74,290.4,USD,Normal,0,19.497,FALSE,FALSE
"Stanley C-Clamp Set (Orange/Black, Compact)",Steel C-clamps for woodworking and metalwork,DIY & Hardware,Hand Tools,C-Clamp Set,Stanley,Orange/Black,Compact,Chrome Vanadium,19.16,28.3,USD,Normal,0,1.253,FALSE,FALSE
"Husky Garage Storage Shelving (Blue, Heavy Duty)",Heavy-duty steel storage shelving unit,DIY & Hardware,Ladders & Storage,Garage Storage Shelving,Husky,Blue,Heavy Duty,Steel,95.2,129.58,USD,Normal,0,18.669,FALSE,FALSE
"Wooster Paint Brush Set (Green, 1 Gallon)",Angled paint brush set for trim and walls,DIY & Hardware,Paint & Painting Supplies,Paint Brush Set,Wooster,Green,1 Gallon,Cotton Canvas,10.22,17,USD,Normal,730,0.244,FALSE,TRUE
"GE Silicone Sealant (Orange/Black, Pack of 2)",100% waterproof silicone sealant cartridge,DIY & Hardware,Adhesives & Sealants,Silicone Sealant,GE,Orange/Black,Pack of 2,Epoxy,7.27,9.8,USD,Normal,545,0.35,FALSE,FALSE
"Krylon Spray Paint Can (Grey, Quart)",All-purpose gloss spray paint,DIY & Hardware,Paint & Painting Supplies,Spray Paint Can,Krylon,Grey,Quart,Cotton Canvas,6.39,10.13,USD,Normal,730,0.414,FALSE,FALSE
"Grip-Rite Wood Screw Assortment (Red, Assorted)",Assorted wood screws for general carpentry,DIY & Hardware,Fasteners & Fixings,Wood Screw Assortment,Grip-Rite,Red,Assorted,Zinc-plated Steel,10.86,14.6,USD,Normal,0,0.462,FALSE,FALSE
"Bosch Reciprocating Saw (Green, 20V)",Reciprocating saw for demolition and rough cuts,DIY & Hardware,Power Tools,Reciprocating Saw,Bosch,Green,20V,Plastic/Metal,103.65,135.53,USD,Normal,0,3.095,FALSE,FALSE
"Black+Decker Cordless Drill Driver (Silver, Compact)",Cordless drill with variable speed and LED work light,DIY & Hardware,Power Tools,Cordless Drill Driver,Black+Decker,Silver,Compact,Plastic/Metal,75.5,123.12,USD,Normal,0,1.78,FALSE,TRUE
"Gorilla Duct Tape (Red, Pack of 2)",Heavy-duty waterproof duct tape,DIY & Hardware,Adhesives & Sealants,Duct Tape,Gorilla,Red,Pack of 2,Cyanoacrylate,5.82,8.41,USD,Normal,545,0.238,FALSE,TRUE
"Loctite Super Glue (Silver, Pack of 2)",Fast-bonding cyanoacrylate super glue,DIY & Hardware,Adhesives & Sealants,Super Glue,Loctite,Silver,Pack of 2,Polyurethane,5.98,9.94,USD,Normal,545,0.051,FALSE,FALSE
"Milwaukee Angle Grinder (Silver, 20V)",Angle grinder for cutting and grinding metal or stone,DIY & Hardware,Power Tools,Angle Grinder,Milwaukee,Silver,20V,Composite,63.63,91.36,USD,Normal,0,2.273,FALSE,FALSE
"DAP Caulk Gun (Red, Pack of 2)",Heavy-duty caulking gun with smooth trigger,DIY & Hardware,Adhesives & Sealants,Caulk Gun,DAP,Red,Pack of 2,Cyanoacrylate,10.35,13.81,USD,Normal,545,0.755,FALSE,FALSE
"Bosch Angle Grinder (Yellow/Black, Heavy Duty)",Angle grinder for cutting and grinding metal or stone,DIY & Hardware,Power Tools,Angle Grinder,Bosch,Yellow/Black,Heavy Duty,Aluminium,24.34,40.72,USD,Normal,0,1.659,FALSE,FALSE
"Loctite Super Glue (Black, Large)",Fast-bonding cyanoacrylate super glue,DIY & Hardware,Adhesives & Sealants,Super Glue,Loctite,Black,Large,Silicone,5.44,8.06,USD,Normal,545,0.042,FALSE,FALSE
"Empire Level Tool 24 inch (Yellow/Black, Compact)",Aluminium spirit level with 3 vials,DIY & Hardware,Hand Tools,Level Tool 24 inch,Empire,Yellow/Black,Compact,Steel,11.24,19.8,USD,Normal,0,0.803,FALSE,FALSE
"3M Duct Tape (Yellow/Black, Large)",Heavy-duty waterproof duct tape,DIY & Hardware,Adhesives & Sealants,Duct Tape,3M,Yellow/Black,Large,Epoxy,6.89,10.91,USD,Normal,545,0.341,FALSE,FALSE
"Elmer's Super Glue (Blue, Standard)",Fast-bonding cyanoacrylate super glue,DIY & Hardware,Adhesives & Sealants,Super Glue,Elmer's,Blue,Standard,Silicone,2.63,4.49,USD,Normal,545,0.051,FALSE,FALSE
"DAP Silicone Sealant (Red, Standard)",100% waterproof silicone sealant cartridge,DIY & Hardware,Adhesives & Sealants,Silicone Sealant,DAP,Red,Standard,Cyanoacrylate,10.06,15.43,USD,Normal,545,0.376,FALSE,TRUE
"Husky Adjustable Wrench Set (Grey, Standard)",Chrome vanadium adjustable wrench set,DIY & Hardware,Hand Tools,Adjustable Wrench Set,Husky,Grey,Standard,Aluminium,10.03,15.89,USD,Normal,0,0.684,FALSE,FALSE
"Trimaco Drop Cloth (Blue, Pack of 3)",Canvas drop cloth for painting projects,DIY & Hardware,Paint & Painting Supplies,Drop Cloth,Trimaco,Blue,Pack of 3,Cotton Canvas,19.77,27.58,USD,Normal,730,1.248,FALSE,FALSE
"Cree LED Light Bulb Pack (Black, Pack of 10)",Energy-efficient LED bulbs pack of 4,DIY & Hardware,Electrical Supplies,LED Light Bulb Pack,Cree,Black,Pack of 10,Copper/PVC,10.23,15.42,USD,Normal,0,0.219,FALSE,FALSE
